May 6, 2023   17:18:30
-0.088, -2.284e-4
-0.087, -2.278e-4
-0.086, -2.271e-4
-0.085, -2.265e-4
-0.084, -2.259e-4
-0.083, -2.253e-4
-0.082, -2.246e-4
-0.081, -2.238e-4
-0.080, -2.230e-4
-0.079, -2.223e-4
-0.078, -2.215e-4
-0.077, -2.207e-4
-0.076, -2.200e-4
-0.075, -2.192e-4
-0.074, -2.185e-4
-0.073, -2.177e-4
-0.072, -2.170e-4
-0.071, -2.162e-4
-0.070, -2.155e-4
-0.069, -2.147e-4
-0.068, -2.140e-4
-0.067, -2.132e-4
-0.066, -2.124e-4
-0.065, -2.117e-4
-0.064, -2.109e-4
-0.063, -2.103e-4
-0.062, -2.095e-4
-0.061, -2.087e-4
-0.060, -2.080e-4
-0.059, -2.072e-4
-0.058, -2.065e-4
-0.057, -2.058e-4
-0.056, -2.050e-4
-0.055, -2.043e-4
-0.054, -2.034e-4
-0.053, -2.026e-4
-0.052, -2.017e-4
-0.051, -2.013e-4
-0.050, -2.005e-4
-0.049, -1.994e-4
-0.048, -1.983e-4
-0.047, -1.972e-4
-0.046, -1.960e-4
-0.045, -1.949e-4
-0.044, -1.938e-4
-0.043, -1.925e-4
-0.042, -1.913e-4
-0.041, -1.899e-4
-0.040, -1.885e-4
-0.039, -1.870e-4
-0.038, -1.856e-4
-0.037, -1.840e-4
-0.036, -1.824e-4
-0.035, -1.807e-4
-0.034, -1.790e-4
-0.033, -1.773e-4
-0.032, -1.756e-4
-0.031, -1.739e-4
-0.030, -1.720e-4
-0.029, -1.701e-4
-0.028, -1.682e-4
-0.027, -1.663e-4
-0.026, -1.643e-4
-0.025, -1.625e-4
-0.024, -1.605e-4
-0.023, -1.585e-4
-0.022, -1.565e-4
-0.021, -1.545e-4
-0.020, -1.526e-4
-0.019, -1.506e-4
-0.018, -1.488e-4
-0.017, -1.468e-4
-0.016, -1.449e-4
-0.015, -1.431e-4
-0.014, -1.412e-4
-0.013, -1.394e-4
-0.012, -1.376e-4
-0.011, -1.357e-4
-0.010, -1.340e-4
-0.009, -1.322e-4
-0.008, -1.305e-4
-0.007, -1.288e-4
-0.006, -1.272e-4
-0.005, -1.256e-4
-0.004, -1.240e-4
-0.003, -1.224e-4
-0.002, -1.209e-4
-0.001, -1.195e-4
0.000, -1.185e-4
0.001, -1.175e-4
0.002, -1.159e-4
0.003, -1.144e-4
0.004, -1.130e-4
0.005, -1.117e-4
0.006, -1.105e-4
0.007, -1.093e-4
0.008, -1.081e-4
0.009, -1.070e-4
0.010, -1.059e-4
0.011, -1.048e-4
0.012, -1.038e-4
0.013, -1.028e-4
0.014, -1.018e-4
0.015, -1.008e-4
0.016, -9.987e-5
0.017, -9.902e-5
0.018, -9.808e-5
0.019, -9.729e-5
0.020, -9.656e-5
0.021, -9.568e-5
0.022, -9.492e-5
0.023, -9.415e-5
0.024, -9.338e-5
0.025, -9.267e-5
0.026, -9.197e-5
0.027, -9.126e-5
0.028, -9.052e-5
0.029, -8.981e-5
0.030, -8.917e-5
0.031, -8.849e-5
0.032, -8.792e-5
0.033, -8.736e-5
0.034, -8.668e-5
0.035, -8.611e-5
0.036, -8.553e-5
0.037, -8.491e-5
0.038, -8.440e-5
0.039, -8.387e-5
0.040, -8.333e-5
0.041, -8.274e-5
0.042, -8.219e-5
0.043, -8.180e-5
0.044, -8.127e-5
0.045, -8.088e-5
0.046, -8.041e-5
0.047, -7.990e-5
0.048, -7.944e-5
0.049, -7.901e-5
0.050, -7.855e-5
0.051, -7.836e-5
0.052, -7.825e-5
0.053, -7.761e-5
0.054, -7.716e-5
0.055, -7.668e-5
0.056, -7.623e-5
0.057, -7.586e-5
0.058, -7.553e-5
0.059, -7.513e-5
0.060, -7.473e-5
0.061, -7.436e-5
0.062, -7.400e-5
0.063, -7.365e-5
0.064, -7.336e-5
0.065, -7.312e-5
0.066, -7.278e-5
0.067, -7.248e-5
0.068, -7.224e-5
0.069, -7.192e-5
0.070, -7.171e-5
0.071, -7.149e-5
0.072, -7.122e-5
0.073, -7.096e-5
0.074, -7.069e-5
0.075, -7.051e-5
0.076, -7.027e-5
0.077, -7.004e-5
0.078, -6.991e-5
0.079, -6.970e-5
0.080, -6.950e-5
0.081, -6.928e-5
0.082, -6.906e-5
0.083, -6.894e-5
0.084, -6.880e-5
0.085, -6.852e-5
0.086, -6.837e-5
0.087, -6.820e-5
0.088, -6.802e-5
0.089, -6.790e-5
0.090, -6.771e-5
0.091, -6.759e-5
0.092, -6.738e-5
0.093, -6.718e-5
0.094, -6.709e-5
0.095, -6.693e-5
0.096, -6.688e-5
0.097, -6.685e-5
0.098, -6.663e-5
0.099, -6.654e-5
0.100, -6.646e-5
0.101, -6.630e-5
0.102, -6.635e-5
0.103, -6.638e-5
0.104, -6.620e-5
0.105, -6.609e-5
0.106, -6.594e-5
0.107, -6.586e-5
0.108, -6.577e-5
0.109, -6.573e-5
0.110, -6.570e-5
0.111, -6.556e-5
0.112, -6.549e-5
0.113, -6.545e-5
0.114, -6.538e-5
0.115, -6.537e-5
0.116, -6.532e-5
0.117, -6.527e-5
0.118, -6.528e-5
0.119, -6.521e-5
0.120, -6.520e-5
0.121, -6.522e-5
0.122, -6.521e-5
0.123, -6.522e-5
0.124, -6.513e-5
0.125, -6.506e-5
0.126, -6.508e-5
0.127, -6.502e-5
0.128, -6.501e-5
0.129, -6.504e-5
0.130, -6.498e-5
0.131, -6.498e-5
0.132, -6.497e-5
0.133, -6.492e-5
0.134, -6.500e-5
0.135, -6.508e-5
0.136, -6.505e-5
0.137, -6.501e-5
0.138, -6.498e-5
0.139, -6.502e-5
0.140, -6.501e-5
0.141, -6.506e-5
0.142, -6.512e-5
0.143, -6.508e-5
0.144, -6.511e-5
0.145, -6.513e-5
0.146, -6.505e-5
0.147, -6.514e-5
0.148, -6.518e-5
0.149, -6.521e-5
0.150, -6.523e-5
0.151, -6.522e-5
0.152, -6.521e-5
0.153, -6.529e-5
0.154, -6.571e-5
0.155, -6.567e-5
0.156, -6.554e-5
0.157, -6.542e-5
0.158, -6.545e-5
0.159, -6.543e-5
0.160, -6.548e-5
0.161, -6.553e-5
0.162, -6.546e-5
0.163, -6.550e-5
0.164, -6.553e-5
0.165, -6.561e-5
0.166, -6.573e-5
0.167, -6.579e-5
0.168, -6.578e-5
0.169, -6.584e-5
0.170, -6.585e-5
0.171, -6.591e-5
0.172, -6.601e-5
0.173, -6.604e-5
0.174, -6.612e-5
0.175, -6.608e-5
0.176, -6.613e-5
0.177, -6.619e-5
0.178, -6.619e-5
0.179, -6.634e-5
0.180, -6.637e-5
0.181, -6.635e-5
0.182, -6.640e-5
0.183, -6.643e-5
0.184, -6.648e-5
0.185, -6.653e-5
0.186, -6.661e-5
0.187, -6.668e-5
0.188, -6.670e-5
0.189, -6.672e-5
0.190, -6.680e-5
0.191, -6.678e-5
0.192, -6.687e-5
0.193, -6.695e-5
0.194, -6.692e-5
0.195, -6.700e-5
0.196, -6.710e-5
0.197, -6.709e-5
0.198, -6.721e-5
0.199, -6.727e-5
0.200, -6.723e-5
0.201, -6.730e-5
0.202, -6.733e-5
0.203, -6.741e-5
0.204, -6.746e-5
0.205, -6.755e-5
0.206, -6.764e-5
0.207, -6.761e-5
0.208, -6.764e-5
0.209, -6.772e-5
0.210, -6.771e-5
0.211, -6.780e-5
0.212, -6.787e-5
0.213, -6.785e-5
0.214, -6.794e-5
0.215, -6.797e-5
0.216, -6.804e-5
0.217, -6.808e-5
0.218, -6.812e-5
0.219, -6.817e-5
0.220, -6.818e-5
0.221, -6.822e-5
0.222, -6.832e-5
0.223, -6.833e-5
0.224, -6.838e-5
0.225, -6.848e-5
0.226, -6.845e-5
0.227, -6.852e-5
0.228, -6.854e-5
0.229, -6.854e-5
0.230, -6.866e-5
0.231, -6.873e-5
0.232, -6.877e-5
0.233, -6.879e-5
0.234, -6.877e-5
0.235, -6.888e-5
0.236, -6.895e-5
0.237, -6.905e-5
0.238, -6.915e-5
0.239, -6.910e-5
0.240, -6.915e-5
0.241, -6.921e-5
0.242, -6.924e-5
0.243, -6.928e-5
0.244, -6.940e-5
0.245, -6.938e-5
0.246, -6.947e-5
0.247, -6.948e-5
0.248, -6.952e-5
0.249, -6.957e-5
0.250, -6.963e-5
0.251, -6.971e-5
0.252, -6.969e-5
0.253, -6.969e-5
0.254, -6.982e-5
0.255, -6.982e-5
0.256, -7.022e-5
0.257, -7.042e-5
0.258, -7.021e-5
0.259, -7.019e-5
0.260, -7.018e-5
0.261, -7.018e-5
0.262, -7.022e-5
0.263, -7.029e-5
0.264, -7.031e-5
0.265, -7.038e-5
0.266, -7.039e-5
0.267, -7.045e-5
0.268, -7.052e-5
0.269, -7.056e-5
0.270, -7.064e-5
0.271, -7.066e-5
0.272, -7.071e-5
0.273, -7.078e-5
0.274, -7.081e-5
0.275, -7.092e-5
0.276, -7.100e-5
0.277, -7.102e-5
0.278, -7.107e-5
0.279, -7.106e-5
0.280, -7.113e-5
0.281, -7.123e-5
0.282, -7.135e-5
0.283, -7.142e-5
0.284, -7.136e-5
0.285, -7.139e-5
0.286, -7.153e-5
0.287, -7.154e-5
0.288, -7.165e-5
0.289, -7.175e-5
0.290, -7.169e-5
0.291, -7.174e-5
0.292, -7.178e-5
0.293, -7.180e-5
0.294, -7.189e-5
0.295, -7.201e-5
0.296, -7.204e-5
0.297, -7.212e-5
0.298, -7.210e-5
0.299, -7.217e-5
0.300, -7.226e-5
0.301, -7.236e-5
0.302, -7.245e-5
0.303, -7.245e-5
0.304, -7.253e-5
0.305, -7.263e-5
0.306, -7.261e-5
0.307, -7.285e-5
0.308, -7.300e-5
0.309, -7.292e-5
0.310, -7.297e-5
0.311, -7.298e-5
0.312, -7.296e-5
0.313, -7.307e-5
0.314, -7.316e-5
0.315, -7.322e-5
0.316, -7.329e-5
0.317, -7.330e-5
0.318, -7.338e-5
0.319, -7.334e-5
0.320, -7.344e-5
0.321, -7.362e-5
0.322, -7.355e-5
0.323, -7.365e-5
0.324, -7.372e-5
0.325, -7.378e-5
0.326, -7.391e-5
0.327, -7.406e-5
0.328, -7.410e-5
0.329, -7.417e-5
0.330, -7.419e-5
0.331, -7.432e-5
0.332, -7.438e-5
0.333, -7.446e-5
0.334, -7.453e-5
0.335, -7.454e-5
0.336, -7.462e-5
0.337, -7.477e-5
0.338, -7.482e-5
0.339, -7.493e-5
0.340, -7.507e-5
0.341, -7.509e-5
0.342, -7.519e-5
0.343, -7.529e-5
0.344, -7.534e-5
0.345, -7.545e-5
0.346, -7.555e-5
0.347, -7.565e-5
0.348, -7.578e-5
0.349, -7.580e-5
0.350, -7.592e-5
0.351, -7.596e-5
0.352, -7.611e-5
0.353, -7.621e-5
0.354, -7.623e-5
0.355, -7.642e-5
0.356, -7.653e-5
0.357, -7.657e-5
0.358, -7.677e-5
0.359, -7.723e-5
0.360, -7.718e-5
0.361, -7.718e-5
0.362, -7.714e-5
0.363, -7.726e-5
0.364, -7.730e-5
0.365, -7.745e-5
0.366, -7.758e-5
0.367, -7.758e-5
0.368, -7.767e-5
0.369, -7.778e-5
0.370, -7.783e-5
0.371, -7.799e-5
0.372, -7.813e-5
0.373, -7.816e-5
0.374, -7.833e-5
0.375, -7.841e-5
0.376, -7.846e-5
0.377, -7.864e-5
0.378, -7.883e-5
0.379, -7.889e-5
0.380, -7.895e-5
0.381, -7.905e-5
0.382, -7.923e-5
0.383, -7.934e-5
0.384, -7.950e-5
0.385, -7.964e-5
0.386, -7.967e-5
0.387, -7.986e-5
0.388, -8.000e-5
0.389, -8.006e-5
0.390, -8.023e-5
0.391, -8.040e-5
0.392, -8.048e-5
0.393, -8.066e-5
0.394, -8.077e-5
0.395, -8.090e-5
0.396, -8.108e-5
0.397, -8.124e-5
0.398, -8.143e-5
0.399, -8.148e-5
0.400, -8.166e-5
0.401, -8.184e-5
0.402, -8.196e-5
0.403, -8.215e-5
0.404, -8.241e-5
0.405, -8.243e-5
0.406, -8.261e-5
0.407, -8.277e-5
0.408, -8.294e-5
0.409, -8.313e-5
0.410, -8.347e-5
0.411, -8.366e-5
0.412, -8.372e-5
0.413, -8.381e-5
0.414, -8.400e-5
0.415, -8.415e-5
0.416, -8.439e-5
0.417, -8.456e-5
0.418, -8.461e-5
0.419, -8.486e-5
0.420, -8.517e-5
0.421, -8.534e-5
0.422, -8.554e-5
0.423, -8.574e-5
0.424, -8.591e-5
0.425, -8.615e-5
0.426, -8.636e-5
0.427, -8.661e-5
0.428, -8.686e-5
0.429, -8.718e-5
0.430, -8.741e-5
0.431, -8.760e-5
0.432, -8.781e-5
0.433, -8.806e-5
0.434, -8.828e-5
0.435, -8.858e-5
0.436, -8.893e-5
0.437, -8.916e-5
0.438, -8.941e-5
0.439, -8.959e-5
0.440, -8.987e-5
0.441, -9.020e-5
0.442, -9.051e-5
0.443, -9.079e-5
0.444, -9.109e-5
0.445, -9.134e-5
0.446, -9.170e-5
0.447, -9.197e-5
0.448, -9.237e-5
0.449, -9.277e-5
0.450, -9.300e-5
0.451, -9.338e-5
0.452, -9.375e-5
0.453, -9.409e-5
0.454, -9.449e-5
0.455, -9.492e-5
0.456, -9.524e-5
0.457, -9.564e-5
0.458, -9.598e-5
0.459, -9.639e-5
0.460, -9.681e-5
0.461, -9.761e-5
0.462, -9.806e-5
0.463, -9.835e-5
0.464, -9.874e-5
0.465, -9.916e-5
0.466, -9.954e-5
0.467, -1.000e-4
0.468, -1.006e-4
0.469, -1.010e-4
0.470, -1.015e-4
0.471, -1.020e-4
0.472, -1.024e-4
0.473, -1.029e-4
0.474, -1.035e-4
0.475, -1.040e-4
0.476, -1.045e-4
0.477, -1.050e-4
0.478, -1.055e-4
0.479, -1.061e-4
0.480, -1.067e-4
0.481, -1.072e-4
0.482, -1.077e-4
0.483, -1.082e-4
0.484, -1.087e-4
0.485, -1.092e-4
0.486, -1.098e-4
0.487, -1.104e-4
0.488, -1.109e-4
0.489, -1.115e-4
0.490, -1.119e-4
0.491, -1.125e-4
0.492, -1.131e-4
0.493, -1.137e-4
0.494, -1.143e-4
0.495, -1.149e-4
0.496, -1.155e-4
0.497, -1.160e-4
0.498, -1.165e-4
0.499, -1.171e-4
0.500, -1.177e-4
0.501, -1.182e-4
0.502, -1.189e-4
0.503, -1.194e-4
0.504, -1.200e-4
0.505, -1.206e-4
0.506, -1.213e-4
0.507, -1.219e-4
0.508, -1.225e-4
0.509, -1.231e-4
0.510, -1.237e-4
0.511, -1.243e-4
0.512, -1.251e-4
0.513, -1.258e-4
0.514, -1.263e-4
0.515, -1.269e-4
0.516, -1.275e-4
0.517, -1.281e-4
0.518, -1.287e-4
0.519, -1.294e-4
0.520, -1.300e-4
0.521, -1.306e-4
0.522, -1.312e-4
0.523, -1.317e-4
0.524, -1.323e-4
0.525, -1.329e-4
0.526, -1.335e-4
0.527, -1.340e-4
0.528, -1.346e-4
0.529, -1.352e-4
0.530, -1.356e-4
0.531, -1.363e-4
0.532, -1.368e-4
0.533, -1.373e-4
0.534, -1.378e-4
0.535, -1.383e-4
0.536, -1.388e-4
0.537, -1.394e-4
0.538, -1.399e-4
0.539, -1.404e-4
0.540, -1.408e-4
0.541, -1.412e-4
0.542, -1.417e-4
0.543, -1.421e-4
0.544, -1.427e-4
0.545, -1.432e-4
0.546, -1.435e-4
0.547, -1.439e-4
0.548, -1.444e-4
0.549, -1.448e-4
0.550, -1.453e-4
0.551, -1.456e-4
0.552, -1.459e-4
0.553, -1.463e-4
0.554, -1.465e-4
0.555, -1.469e-4
0.556, -1.472e-4
0.557, -1.476e-4
0.558, -1.479e-4
0.559, -1.481e-4
0.560, -1.484e-4
0.561, -1.487e-4
0.562, -1.489e-4
0.563, -1.494e-4
0.564, -1.500e-4
0.565, -1.500e-4
0.566, -1.501e-4
0.567, -1.503e-4
0.568, -1.505e-4
0.569, -1.507e-4
0.570, -1.509e-4
0.571, -1.511e-4
0.572, -1.513e-4
0.573, -1.514e-4
0.574, -1.516e-4
0.575, -1.518e-4
0.576, -1.520e-4
0.577, -1.521e-4
0.578, -1.522e-4
0.579, -1.524e-4
0.580, -1.526e-4
0.581, -1.527e-4
0.582, -1.529e-4
0.583, -1.532e-4
0.584, -1.533e-4
0.585, -1.534e-4
0.586, -1.535e-4
0.587, -1.537e-4
0.588, -1.538e-4
0.589, -1.540e-4
0.590, -1.542e-4
0.591, -1.544e-4
0.592, -1.544e-4
0.593, -1.546e-4
0.594, -1.547e-4
0.595, -1.549e-4
0.596, -1.551e-4
0.597, -1.552e-4
0.598, -1.553e-4
0.599, -1.554e-4
0.600, -1.555e-4
0.601, -1.556e-4
0.602, -1.557e-4
0.603, -1.559e-4
0.604, -1.559e-4
0.605, -1.559e-4
0.606, -1.560e-4
0.607, -1.561e-4
0.608, -1.562e-4
0.609, -1.563e-4
0.610, -1.563e-4
0.611, -1.564e-4
0.612, -1.564e-4
0.613, -1.564e-4
0.614, -1.565e-4
0.615, -1.566e-4
0.616, -1.566e-4
0.617, -1.566e-4
0.618, -1.566e-4
0.619, -1.566e-4
0.620, -1.567e-4
0.621, -1.567e-4
0.622, -1.568e-4
0.623, -1.567e-4
0.624, -1.567e-4
0.625, -1.567e-4
0.626, -1.566e-4
0.627, -1.567e-4
0.628, -1.567e-4
0.629, -1.566e-4
0.630, -1.566e-4
0.631, -1.566e-4
0.632, -1.566e-4
0.633, -1.565e-4
0.634, -1.566e-4
0.635, -1.565e-4
0.636, -1.565e-4
0.637, -1.564e-4
0.638, -1.564e-4
0.639, -1.563e-4
0.640, -1.563e-4
0.641, -1.564e-4
0.642, -1.563e-4
0.643, -1.562e-4
0.644, -1.562e-4
0.645, -1.561e-4
0.646, -1.561e-4
0.647, -1.561e-4
0.648, -1.561e-4
0.649, -1.560e-4
0.650, -1.559e-4
0.651, -1.559e-4
0.652, -1.559e-4
0.653, -1.559e-4
0.654, -1.559e-4
0.655, -1.558e-4
0.656, -1.558e-4
0.657, -1.557e-4
0.658, -1.557e-4
0.659, -1.557e-4
0.660, -1.557e-4
0.661, -1.556e-4
0.662, -1.557e-4
0.663, -1.556e-4
0.664, -1.556e-4
0.665, -1.557e-4
0.666, -1.561e-4
0.667, -1.560e-4
0.668, -1.558e-4
0.669, -1.557e-4
0.670, -1.558e-4
0.671, -1.557e-4
0.672, -1.558e-4
0.673, -1.558e-4
0.674, -1.558e-4
0.675, -1.558e-4
0.676, -1.558e-4
0.677, -1.558e-4
0.678, -1.559e-4
0.679, -1.560e-4
0.680, -1.559e-4
0.681, -1.560e-4
0.682, -1.560e-4
0.683, -1.560e-4
0.684, -1.561e-4
0.685, -1.563e-4
0.686, -1.563e-4
0.687, -1.563e-4
0.688, -1.564e-4
0.689, -1.565e-4
0.690, -1.565e-4
0.691, -1.566e-4
0.692, -1.568e-4
0.693, -1.568e-4
0.694, -1.569e-4
0.695, -1.570e-4
0.696, -1.570e-4
0.697, -1.571e-4
0.698, -1.573e-4
0.699, -1.574e-4
0.700, -1.574e-4
0.701, -1.575e-4
0.702, -1.577e-4
0.703, -1.577e-4
0.704, -1.579e-4
0.705, -1.581e-4
0.706, -1.581e-4
0.707, -1.582e-4
0.708, -1.583e-4
0.709, -1.584e-4
0.710, -1.586e-4
0.711, -1.588e-4
0.712, -1.589e-4
0.713, -1.590e-4
0.714, -1.591e-4
0.715, -1.592e-4
0.716, -1.594e-4
0.717, -1.597e-4
0.718, -1.599e-4
0.719, -1.599e-4
0.720, -1.600e-4
0.721, -1.601e-4
0.722, -1.602e-4
0.723, -1.605e-4
0.724, -1.607e-4
0.725, -1.607e-4
0.726, -1.609e-4
0.727, -1.611e-4
0.728, -1.612e-4
0.729, -1.614e-4
0.730, -1.616e-4
0.731, -1.617e-4
0.732, -1.619e-4
0.733, -1.621e-4
0.734, -1.622e-4
0.735, -1.624e-4
0.736, -1.626e-4
0.737, -1.628e-4
0.738, -1.629e-4
0.739, -1.631e-4
0.740, -1.633e-4
0.741, -1.634e-4
0.742, -1.637e-4
0.743, -1.639e-4
0.744, -1.641e-4
0.745, -1.643e-4
0.746, -1.644e-4
0.747, -1.646e-4
0.748, -1.648e-4
0.749, -1.651e-4
0.750, -1.653e-4
0.751, -1.654e-4
0.752, -1.656e-4
0.753, -1.659e-4
0.754, -1.660e-4
0.755, -1.663e-4
0.756, -1.665e-4
0.757, -1.665e-4
0.758, -1.668e-4
0.759, -1.671e-4
0.760, -1.672e-4
0.761, -1.675e-4
0.762, -1.678e-4
0.763, -1.680e-4
0.764, -1.681e-4
0.765, -1.683e-4
0.766, -1.685e-4
0.767, -1.688e-4
0.768, -1.693e-4
0.769, -1.696e-4
0.770, -1.697e-4
0.771, -1.699e-4
0.772, -1.700e-4
0.773, -1.702e-4
0.774, -1.705e-4
0.775, -1.707e-4
0.776, -1.709e-4
0.777, -1.712e-4
0.778, -1.714e-4
0.779, -1.716e-4
0.780, -1.718e-4
0.781, -1.721e-4
0.782, -1.724e-4
0.783, -1.725e-4
0.784, -1.727e-4
0.785, -1.730e-4
0.786, -1.731e-4
0.787, -1.735e-4
0.788, -1.738e-4
0.789, -1.739e-4
0.790, -1.742e-4
0.791, -1.744e-4
0.792, -1.747e-4
0.793, -1.749e-4
0.794, -1.751e-4
0.795, -1.754e-4
0.796, -1.756e-4
0.797, -1.758e-4
0.798, -1.761e-4
0.799, -1.763e-4
0.800, -1.767e-4
0.801, -1.770e-4
0.802, -1.771e-4
0.803, -1.774e-4
0.804, -1.777e-4
0.805, -1.779e-4
0.806, -1.782e-4
0.807, -1.784e-4
0.808, -1.787e-4
0.809, -1.789e-4
0.810, -1.791e-4
0.811, -1.794e-4
0.812, -1.797e-4
0.813, -1.800e-4
0.814, -1.803e-4
0.815, -1.805e-4
0.816, -1.808e-4
0.817, -1.810e-4
0.818, -1.813e-4
0.819, -1.819e-4
0.820, -1.825e-4
0.821, -1.824e-4
0.822, -1.826e-4
0.823, -1.828e-4
0.824, -1.830e-4
0.825, -1.833e-4
0.826, -1.836e-4
0.827, -1.838e-4
0.828, -1.841e-4
0.829, -1.843e-4
0.830, -1.846e-4
0.831, -1.849e-4
0.832, -1.851e-4
0.833, -1.855e-4
0.834, -1.857e-4
0.835, -1.860e-4
0.836, -1.863e-4
0.837, -1.865e-4
0.838, -1.868e-4
0.839, -1.871e-4
0.840, -1.874e-4
0.841, -1.877e-4
0.842, -1.879e-4
0.843, -1.882e-4
0.844, -1.884e-4
0.845, -1.888e-4
0.846, -1.890e-4
0.847, -1.893e-4
0.848, -1.896e-4
0.849, -1.899e-4
0.850, -1.901e-4
0.851, -1.905e-4
